County,FIPS,Population
"Pike County, Arkansas",05109,10673
"Poinsett County, Arkansas",05111,23974
"Polk County, Arkansas",05113,20049
"Pope County, Arkansas",05115,64000
"Prairie County, Arkansas",05117,8074
"Pulaski County, Arkansas",05119,392680
"Randolph County, Arkansas",05121,17948
"St. Francis County, Arkansas",05123,25439
"Saline County, Arkansas",05125,121421
"Scott County, Arkansas",05127,10319
"Searcy County, Arkansas",05129,7958
"Sebastian County, Arkansas",05131,127753
"Sevier County, Arkansas",05133,17139
"Sharp County, Arkansas",05135,17366
"Stone County, Arkansas",05137,12457
"Union County, Arkansas",05139,39126
"Van Buren County, Arkansas",05141,16603
"Washington County, Arkansas",05143,236961
"White County, Arkansas",05145,78727
"Woodruff County, Arkansas",05147,6490
"Yell County, Arkansas",05149,21535
"Alameda County, California",06001,1666753
"Alpine County, California",06003,1101
"Amador County, California",06005,39383
"Butte County, California",06007,231256
"Calaveras County, California",06009,45602
"Colusa County, California",06011,21627
"Contra Costa County, California",06013,1150215
"Del Norte County, California",06015,27828
"El Dorado County, California",06017,190678
"Fresno County, California",06019,994400
"Glenn County, California",06021,28047
"Humboldt County, California",06023,136373
"Imperial County, California",06025,181827
"Inyo County, California",06027,17987
"Kern County, California",06029,896764
"Kings County, California",06031,151366
"Lake County, California",06033,64382
"Lassen County, California",06035,30802
"Los Angeles County, California",06037,10105518
"Madera County, California",06039,157672
"Marin County, California",06041,259666
"Mariposa County, California",06043,17471
"Mendocino County, California",06045,87606
"Merced County, California",06047,274765
"Modoc County, California",06049,8777
"Mono County, California",06051,14250
"Monterey County, California",06053,435594
"Napa County, California",06055,139417
"Nevada County, California",06057,99696
"Orange County, California",06059,3185968
"Placer County, California",06061,393149
"Plumas County, California",06063,18804
"Riverside County, California",06065,2450758
"Sacramento County, California",06067,1540975
"San Benito County, California",06069,61537
"San Bernardino County, California",06071,2171603
"San Diego County, California",06073,3343364
"San Francisco County, California",06075,883305
"San Joaquin County, California",06077,752660
"San Luis Obispo County, California",06079,284010
"San Mateo County, California",06081,769545
"Santa Barbara County, California",06083,446527
"Santa Clara County, California",06085,1937570
"Santa Cruz County, California",06087,274255
"Shasta County, California",06089,180040
"Sierra County, California",06091,2987
"Siskiyou County, California",06093,43724
"Solano County, California",06095,446610
"Sonoma County, California",06097,499942
"Stanislaus County, California",06099,549815
"Sutter County, California",06101,96807
"Tehama County, California",06103,63916
"Trinity County, California",06105,12535
"Tulare County, California",06107,465861
"Tuolumne County, California",06109,54539
"Ventura County, California",06111,850967
"Yolo County, California",06113,220408
"Yuba County, California",06115,78041
"Adams County, Colorado",08001,511868
"Alamosa County, Colorado",08003,16683
"Arapahoe County, Colorado",08005,651215
"Archuleta County, Colorado",08007,13765
"Baca County, Colorado",08009,3585
"Bent County, Colorado",08011,5882
"Boulder County, Colorado",08013,326078
"Broomfield County, Colorado",08014,69267
"Chaffee County, Colorado",08015,20027
"Cheyenne County, Colorado",08017,1876
"Clear Creek County, Colorado",08019,9605
"Conejos County, Colorado",08021,8200
"Costilla County, Colorado",08023,3828
"Crowley County, Colorado",08025,5858
"Custer County, Colorado",08027,4954
"Delta County, Colorado",08029,30953
"Denver County, Colorado",08031,716492
"Dolores County, Colorado",08033,2074
"Douglas County, Colorado",08035,342776
"Eagle County, Colorado",08037,54993
"Elbert County, Colorado",08039,26282
"El Paso County, Colorado",08041,713856
"Fremont County, Colorado",08043,48021
"Garfield County, Colorado",08045,59770
"Gilpin County, Colorado",08047,6121
"Grand County, Colorado",08049,15525
"Gunnison County, Colorado",08051,17246
"Hinsdale County, Colorado",08053,811
"Huerfano County, Colorado",08055,6889
"Jackson County, Colorado",08057,1399
"Jefferson County, Colorado",08059,580233
"Kiowa County, Colorado",08061,1383
"Kit Carson County, Colorado",08063,7163
"Lake County, Colorado",08065,7824
"La Plata County, Colorado",08067,56310
"Larimer County, Colorado",08069,350518
"Las Animas County, Colorado",08071,14503
"Lincoln County, Colorado",08073,5610
"Logan County, Colorado",08075,21528
"Mesa County, Colorado",08077,153207
"Mineral County, Colorado",08079,776
"Moffat County, Colorado",08081,13188
"Montezuma County, Colorado",08083,26158
"Montrose County, Colorado",08085,42214
"Morgan County, Colorado",08087,28558
"Otero County, Colorado",08089,18432
"Ouray County, Colorado",08091,4833
"Park County, Colorado",08093,18556
"Phillips County, Colorado",08095,4286
"Pitkin County, Colorado",08097,17950
"Prowers County, Colorado",08099,12164
"Pueblo County, Colorado",08101,167529
"Rio Blanco County, Colorado",08103,6336
"Rio Grande County, Colorado",08105,11250
"Routt County, Colorado",08107,25733
"Saguache County, Colorado",08109,6843
"San Juan County, Colorado",08111,762
"San Miguel County, Colorado",08113,8191
"Sedgwick County, Colorado",08115,2303
"Summit County, Colorado",08117,31007
"Teller County, Colorado",08119,25083
"Washington County, Colorado",08121,4909
"Weld County, Colorado",08123,314305
"Yuma County, Colorado",08125,10020
"Fairfield County, Connecticut",09001,943823
"Hartford County, Connecticut",09003,892697
"Litchfield County, Connecticut",09005,181111
"Middlesex County, Connecticut",09007,162682
"New Haven County, Connecticut",09009,857620
"New London County, Connecticut",09011,266784
"Tolland County, Connecticut",09013,150921
"Windham County, Connecticut",09015,117027
"Kent County, Delaware",10001,178550
"New Castle County, Delaware",10003,559335
"Sussex County, Delaware",10005,229286
"District of Columbia, District of Columbia",11001,702455
"Alachua County, Florida",12001,269956
"Baker County, Florida",12003,28355
"Bay County, Florida",12005,185287
"Bradford County, Florida",12007,27732
"Brevard County, Florida",12009,596849
"Broward County, Florida",12011,1951260
"Calhoun County, Florida",12013,14587
"Charlotte County, Florida",12015,184998
"Citrus County, Florida",12017,147929
"Clay County, Florida",12019,216072
"Collier County, Florida",12021,378488
"Columbia County, Florida",12023,70503
"DeSoto County, Florida",12027,37489
"Dixie County, Florida",12029,16700
"Duval County, Florida",12031,950181
"Escambia County, Florida",12033,315534
"Flagler County, Florida",12035,112067
"Franklin County, Florida",12037,11736
"Gadsden County, Florida",12039,45894
"Gilchrist County, Florida",12041,18256
"Glades County, Florida",12043,13724
"Gulf County, Florida",12045,16164
"Hamilton County, Florida",12047,14310
"Hardee County, Florida",12049,27245
"Hendry County, Florida",12051,41556
"Hernando County, Florida",12053,190865
"Highlands County, Florida",12055,105424
"Hillsborough County, Florida",12057,1436888
"Holmes County, Florida",12059,19477
"Indian River County, Florida",12061,157413
"Jackson County, Florida",12063,48305
"Jefferson County, Florida",12065,14288
"Lafayette County, Florida",12067,8732
"Lake County, Florida",12069,356495
"Lee County, Florida",12071,754610
"Leon County, Florida",12073,292502
"Levy County, Florida",12075,40770
"Liberty County, Florida",12077,8457
"Madison County, Florida",12079,18529
"Manatee County, Florida",12081,394855
"Marion County, Florida",12083,359977
"Martin County, Florida",12085,160912
"Miami-Dade County, Florida",12086,2761581
"Monroe County, Florida",12087,75027
"Nassau County, Florida",12089,85832
